datagolf_rank,dg_id,dg_skill_estimate,owgr_rank,primary_tour,last_updated
1,18417,2.95390564902094,1,PGA,2025-05-26 12:01:06 UTC
2,10091,2.14000813878513,2,PGA,2025-05-26 12:01:06 UTC
3,19841,2.03780732372075,10,LIV,2025-05-26 12:01:06 UTC
4,19195,1.98762988844619,74,LIV,2025-05-26 12:01:06 UTC
5,14139,1.78044153723811,5,PGA,2025-05-26 12:01:06 UTC
6,12294,1.66453302555569,12,PGA,2025-05-26 12:01:06 UTC
7,19895,1.65015734726811,3,PGA,2025-05-26 12:01:06 UTC
8,22085,1.62371093920741,4,PGA,2025-05-26 12:01:06 UTC
9,18079,1.61903779774676,77,LIV,2025-05-26 12:01:06 UTC
10,17576,1.49859370786923,20,PGA,2025-05-26 12:01:06 UTC
11,13900,1.41548376510545,14,PGA,2025-05-26 12:01:06 UTC
12,15466,1.39989756277821,15,PGA,2025-05-26 12:01:06 UTC
13,17511,1.39357461300022,9,PGA,2025-05-26 12:01:06 UTC
14,14796,1.30715838373875,23,LIV,2025-05-26 12:01:06 UTC
15,13562,1.30080941674103,7,PGA,2025-05-26 12:01:06 UTC
16,14578,1.25303549730862,8,PGA,2025-05-26 12:01:06 UTC
17,17606,1.20954809075486,28,PGA,2025-05-26 12:01:06 UTC
18,13872,1.20809144121895,18,PGA,2025-05-26 12:01:06 UTC
19,19870,1.15805958138209,42,PGA,2025-05-26 12:01:06 UTC
20,17536,1.14592275291836,25,PGA,2025-05-26 12:01:06 UTC
21,14609,1.14340161913211,59,PGA,2025-05-26 12:01:06 UTC
22,24968,1.11592669095902,24,PGA,2025-05-26 12:01:06 UTC
23,19483,1.09848340940063,34,PGA,2025-05-26 12:01:06 UTC
24,18841,1.07665954229119,13,PGA,2025-05-26 12:01:06 UTC
25,21554,1.06199073588745,36,PGA,2025-05-26 12:01:06 UTC
26,18554,1.04365291903666,30,PGA,2025-05-26 12:01:06 UTC
27,23950,1.02131636332608,6,PGA,2025-05-26 12:01:06 UTC
28,23323,1.00836131077302,19,PGA,2025-05-26 12:01:06 UTC
29,14636,0.968921497100818,51,PGA,2025-05-26 12:01:06 UTC
30,14577,0.953541021792816,16,PGA,2025-05-26 12:01:06 UTC
31,27194,0.942133585282496,85,PGA,2025-05-26 12:01:06 UTC
32,10419,0.941902148841645,72,PGA,2025-05-26 12:01:06 UTC
33,11676,0.932707928725669,37,PGA,2025-05-26 12:01:06 UTC
34,14838,0.931256941170522,55,LIV,2025-05-26 12:01:06 UTC
35,17488,0.930231896198746,21,PGA,2025-05-26 12:01:06 UTC
36,23475,0.926701076005146,33,PGA,2025-05-26 12:01:06 UTC
37,17064,0.901198798568844,171,LIV,2025-05-26 12:01:06 UTC
38,9771,0.884483012817148,38,PGA,2025-05-26 12:01:06 UTC
39,18634,0.868276948163124,11,PGA,2025-05-26 12:01:06 UTC
40,17543,0.850862391898273,53,PGA,2025-05-26 12:01:06 UTC
41,17365,0.846067756629423,91,PGA,2025-05-26 12:01:06 UTC
42,26096,0.844760533499688,31,PGA,2025-05-26 12:01:06 UTC
43,17780,0.822404449709279,39,PGA,2025-05-26 12:01:06 UTC
44,23465,0.774044104261749,46,PGA,2025-05-26 12:01:06 UTC
45,13412,0.772170886256367,81,PGA,2025-05-26 12:01:06 UTC
46,14735,0.768853088456858,230,LIV,2025-05-26 12:01:06 UTC
47,7399,0.766236930399136,40,PGA,2025-05-26 12:01:06 UTC
48,6430,0.759850138495311,41,PGA,2025-05-26 12:01:06 UTC
49,23841,0.759835080462294,92,EURO,2025-05-26 12:01:06 UTC
50,8825,0.749666944117911,27,PGA,2025-05-26 12:01:06 UTC
51,21756,0.729485806290843,68,PGA,2025-05-26 12:01:06 UTC
52,14502,0.724708737390178,57,PGA,2025-05-26 12:01:06 UTC
53,16841,0.70541626564932,29,PGA,2025-05-26 12:01:06 UTC
54,25569,0.697632420462028,63,PGA,2025-05-26 12:01:06 UTC
55,29767,0.684925148629769,75,PGA,2025-05-26 12:01:06 UTC
56,17646,0.684847561693896,79,PGA,2025-05-26 12:01:06 UTC
57,11276,0.681574706138136,26,PGA,2025-05-26 12:01:06 UTC
58,28984,0.662342865354283,113,LIV,2025-05-26 12:01:06 UTC
59,27364,0.656962752214811,56,PGA,2025-05-26 12:01:06 UTC
60,20770,0.646119338614997,501,LIV,2025-05-26 12:01:06 UTC
61,15556,0.637461948780506,49,PGA,2025-05-26 12:01:06 UTC
62,16394,0.627248419856835,47,PGA,2025-05-26 12:01:06 UTC
63,15856,0.611933016418892,163,LIV,2025-05-26 12:01:06 UTC
64,23604,0.593609074550695,22,PGA,2025-05-26 12:01:06 UTC
65,18474,0.590833845451209,114,PGA,2025-05-26 12:01:06 UTC
66,32330,0.588407072393511,112,AM,2025-05-26 12:01:06 UTC
67,22760,0.583774521957893,86,PGA,2025-05-26 12:01:06 UTC
68,18103,0.568778884743807,65,PGA,2025-05-26 12:01:06 UTC
69,21944,0.568513603596022,93,PGA,2025-05-26 12:01:06 UTC
70,5689,0.564650141982956,412,LIV,2025-05-26 12:01:06 UTC
71,20706,0.547608554389458,89,PGA,2025-05-26 12:01:06 UTC
72,29433,0.533870471405674,66,PGA,2025-05-26 12:01:06 UTC
73,18586,0.527010824735829,105,EURO,2025-05-26 12:01:06 UTC
74,21891,0.516671808417876,99,PGA,2025-05-26 12:01:06 UTC
75,13126,0.51341411821083,43,PGA,2025-05-26 12:01:06 UTC
76,32457,0.503727874367762,83,KFT,2025-05-26 12:01:06 UTC
77,15575,0.502479004857786,48,PGA,2025-05-26 12:01:06 UTC
78,16283,0.498377967088302,82,PGA,2025-05-26 12:01:06 UTC
79,12577,0.489841714412938,95,PGA,2025-05-26 12:01:06 UTC
80,25908,0.48733026568649,128,PGA,2025-05-26 12:01:06 UTC
81,14459,0.484057748848094,44,PGA,2025-05-26 12:01:06 UTC
82,14424,0.483056558642408,182,LIV,2025-05-26 12:01:06 UTC
83,20722,0.48215155429119,76,PGA,2025-05-26 12:01:06 UTC
84,17881,0.476991697586199,80,PGA,2025-05-26 12:01:06 UTC
85,23838,0.460877209865408,64,PGA,2025-05-26 12:01:06 UTC
86,28635,0.456620829354122,60,PGA,2025-05-26 12:01:06 UTC
87,11889,0.448072202639187,78,PGA,2025-05-26 12:01:06 UTC
88,14013,0.445007579785227,501,LIV,2025-05-26 12:01:06 UTC
89,12965,0.441718040433753,124,PGA,2025-05-26 12:01:06 UTC
90,16243,0.423426586281558,395,LIV,2025-05-26 12:01:06 UTC
91,16715,0.421341669725339,150,PGA,2025-05-26 12:01:06 UTC
92,16333,0.416604552473444,111,PGA,2025-05-26 12:01:06 UTC
93,19428,0.415460610205149,84,PGA,2025-05-26 12:01:06 UTC
94,15676,0.40981948507072,100,PGA,2025-05-26 12:01:06 UTC
95,6169,0.397832437413928,139,PGA,2025-05-26 12:01:06 UTC
96,27774,0.387887019478,186,PGA,2025-05-26 12:01:06 UTC
97,7649,0.386006236090037,501,LIV,2025-05-26 12:01:06 UTC
98,14704,0.380047276938883,146,PGA,2025-05-26 12:01:06 UTC
99,14181,0.368279731957434,32,PGA,2025-05-26 12:01:06 UTC
100,7672,0.367640570002145,329,LIV,2025-05-26 12:01:06 UTC
101,24766,0.3533323948995,45,PGA,2025-05-26 12:01:06 UTC
102,7398,0.343383729805889,377,LIV,2025-05-26 12:01:06 UTC
103,26651,0.340770666944477,67,PGA,2025-05-26 12:01:06 UTC
104,7108,0.331550406683927,501,LIV,2025-05-26 12:01:06 UTC
105,10104,0.326950337188877,130,PGA,2025-05-26 12:01:06 UTC
106,24550,0.322941035736678,117,PGA,2025-05-26 12:01:06 UTC
107,11657,0.321257122091604,172,PGA,2025-05-26 12:01:06 UTC
108,22322,0.316672953295601,123,EURO,2025-05-26 12:01:06 UTC
109,6516,0.315378599373628,501,LIV,2025-05-26 12:01:06 UTC
110,22833,0.30836767043976,52,PGA,2025-05-26 12:01:06 UTC
111,28309,0.303427972746007,155,PGA,2025-05-26 12:01:06 UTC
112,15310,0.299256258984696,103,EURO,2025-05-26 12:01:06 UTC
113,12423,0.294764328902376,94,PGA,2025-05-26 12:01:06 UTC
114,26653,0.290282342246966,70,PGA,2025-05-26 12:01:06 UTC
115,17550,0.288959438562559,73,PGA,2025-05-26 12:01:06 UTC
116,23602,0.285543785862329,98,PGA,2025-05-26 12:01:06 UTC
117,10158,0.277579316817933,193,EURO,2025-05-26 12:01:06 UTC
118,23014,0.275323983991059,35,PGA,2025-05-26 12:01:06 UTC
119,19396,0.274272302976349,96,PGA,2025-05-26 12:01:06 UTC
120,12808,0.269495014506141,151,PGA,2025-05-26 12:01:06 UTC
121,6093,0.263909097663548,17,PGA,2025-05-26 12:01:06 UTC
122,25157,0.263425998720572,116,PGA,2025-05-26 12:01:06 UTC
123,23505,0.261489589479609,88,PGA,2025-05-26 12:01:06 UTC
124,18580,0.256617691573003,501,LIV,2025-05-26 12:01:06 UTC
125,18238,0.251276895720353,491,LIV,2025-05-26 12:01:06 UTC
126,18628,0.246166583116825,106,PGA,2025-05-26 12:01:06 UTC
127,21688,0.24295578594778,115,KFT,2025-05-26 12:01:06 UTC
128,28469,0.228196774936829,61,PGA,2025-05-26 12:01:06 UTC
129,13508,0.223666968726221,50,PGA,2025-05-26 12:01:06 UTC
130,23504,0.207267052727648,120,PGA,2025-05-26 12:01:06 UTC
131,26745,0.200266731855224,141,EURO,2025-05-26 12:01:06 UTC
132,14795,0.199998595439404,62,EURO,2025-05-26 12:01:06 UTC
133,26649,0.184748792632322,135,PGA,2025-05-26 12:01:06 UTC
134,27996,0.157643216589403,240,PGA,2025-05-26 12:01:06 UTC
135,27819,0.152463619264427,203,PGA,2025-05-26 12:01:06 UTC
136,17723,0.150530243562733,109,PGA,2025-05-26 12:01:06 UTC
137,6986,0.144743658797146,178,PGA,2025-05-26 12:01:06 UTC
138,23816,0.1348647154744,107,PGA,2025-05-26 12:01:06 UTC
139,21074,0.133907545514242,119,EURO,2025-05-26 12:01:06 UTC
140,20730,0.132499144729524,110,PGA,2025-05-26 12:01:06 UTC
141,32319,0.127022352746975,501,AM,2025-05-26 12:01:06 UTC
142,18770,0.1191358494538,136,PGA,2025-05-26 12:01:06 UTC
143,18424,0.117595915094765,189,PGA,2025-05-26 12:01:06 UTC
144,19872,0.11749200605014,54,PGA,2025-05-26 12:01:06 UTC
145,28615,0.11486211962631,170,EURO,2025-05-26 12:01:06 UTC
146,15470,0.112406845846364,97,PGA,2025-05-26 12:01:06 UTC
147,25601,0.106153971276374,132,EURO,2025-05-26 12:01:06 UTC
148,13944,0.104890063862755,501,LIV,2025-05-26 12:01:06 UTC
149,26126,0.102215860971408,265,KFT,2025-05-26 12:01:06 UTC
150,26850,0.0943025972533961,122,PGA,2025-05-26 12:01:06 UTC
151,19729,0.0862091938557903,174,PGA,2025-05-26 12:01:06 UTC
152,27183,0.0856158903071545,168,PGA,2025-05-26 12:01:06 UTC
153,15004,0.0802180420536594,143,PGA,2025-05-26 12:01:06 UTC
154,17786,0.0702908887345486,69,PGA,2025-05-26 12:01:06 UTC
155,25003,0.055612315354948,191,PGA,2025-05-26 12:01:06 UTC
156,17538,0.0507639772288368,87,PGA,2025-05-26 12:01:06 UTC
157,13764,0.0503496432661823,104,EURO,2025-05-26 12:01:06 UTC
158,26657,0.0451732783221465,157,PGA,2025-05-26 12:01:06 UTC
159,11357,0.03057345987169,175,LIV,2025-05-26 12:01:06 UTC
160,23656,0.0289789789889926,165,PGA,2025-05-26 12:01:06 UTC
161,21646,0.0272267362754115,140,EURO,2025-05-26 12:01:06 UTC
162,14509,0.0208306938785938,147,PGA,2025-05-26 12:01:06 UTC
163,25094,0.0126420934816755,118,PGA,2025-05-26 12:01:06 UTC
164,28159,0.0069730270385348,158,PGA,2025-05-26 12:01:06 UTC
165,6892,-0.0004590171397532,501,LIV,2025-05-26 12:01:06 UTC
166,15229,-0.0054374417730341,259,EURO,2025-05-26 12:01:06 UTC
167,7677,-0.0074400464748936,108,JPN,2025-05-26 12:01:06 UTC
168,11049,-0.0117086064699617,354,PGA,2025-05-26 12:01:06 UTC
169,14698,-0.0153749911660802,215,PGA,2025-05-26 12:01:06 UTC
170,27164,-0.0251581705688707,161,PGA,2025-05-26 12:01:06 UTC
171,22465,-0.0305702279922022,177,EURO,2025-05-26 12:01:06 UTC
172,5768,-0.0444213927679336,129,PGA,2025-05-26 12:01:06 UTC
173,14987,-0.0536445169520567,254,EURO,2025-05-26 12:01:06 UTC
174,11451,-0.0583601134515512,188,PGA,2025-05-26 12:01:06 UTC
175,15193,-0.0601206850302753,162,AFR,2025-05-26 12:01:06 UTC
176,14792,-0.0642522866656599,197,EURO,2025-05-26 12:01:06 UTC
177,13997,-0.06794667493824,187,PGA,2025-05-26 12:01:06 UTC
178,11460,-0.0765903497165688,133,PGA,2025-05-26 12:01:06 UTC
179,20954,-0.0796000450388872,125,KFT,2025-05-26 12:01:06 UTC
180,15475,-0.0812796885041914,160,PGA,2025-05-26 12:01:06 UTC
181,26193,-0.0859187165342551,347,EURO,2025-05-26 12:01:06 UTC
182,12669,-0.0943790431714484,501,LIV,2025-05-26 12:01:06 UTC
183,19840,-0.108912062508593,235,PGA,2025-05-26 12:01:06 UTC
184,24497,-0.122244561340679,190,EURO,2025-05-26 12:01:06 UTC
185,16896,-0.125851188243256,180,EURO,2025-05-26 12:01:06 UTC
186,20727,-0.126745301933539,226,EURO,2025-05-26 12:01:06 UTC
187,16162,-0.131723514081375,225,KFT,2025-05-26 12:01:06 UTC
188,23482,-0.132764393110029,202,PGA,2025-05-26 12:01:06 UTC
189,24304,-0.134568831306385,102,PGA,2025-05-26 12:01:06 UTC
190,12422,-0.136581046243858,501,LIV,2025-05-26 12:01:06 UTC
191,16652,-0.146944969248069,121,EURO,2025-05-26 12:01:06 UTC
192,13965,-0.150719902621359,101,PGA,2025-05-26 12:01:06 UTC
193,27811,-0.158422774434727,144,EURO,2025-05-26 12:01:06 UTC
194,14007,-0.164349186603392,303,PGA,2025-05-26 12:01:06 UTC
195,7334,-0.169235730877225,501,LIV,2025-05-26 12:01:06 UTC
196,15651,-0.173776492629024,200,PGA,2025-05-26 12:01:06 UTC
197,24342,-0.179682365937471,137,PGA,2025-05-26 12:01:06 UTC
198,14016,-0.186036003773794,126,EURO,2025-05-26 12:01:06 UTC
199,24962,-0.197031924291021,232,KFT,2025-05-26 12:01:06 UTC
200,14559,-0.199187432574788,405,ASA,2025-05-26 12:01:06 UTC
201,26991,-0.199903323009218,234,EURO,2025-05-26 12:01:06 UTC
202,22002,-0.217352446064402,268,KFT,2025-05-26 12:01:06 UTC
203,10201,-0.220909167874415,156,EURO,2025-05-26 12:01:06 UTC
204,12177,-0.224457464448345,283,EURO,2025-05-26 12:01:06 UTC
205,12337,-0.23730850880795,501,LIV,2025-05-26 12:01:06 UTC
206,22736,-0.237524737943071,241,PGA,2025-05-26 12:01:06 UTC
207,23733,-0.238622064321777,199,EURO,2025-05-26 12:01:06 UTC
208,19190,-0.240112853167962,210,PGA,2025-05-26 12:01:06 UTC
209,21362,-0.246911164551145,166,EURO,2025-05-26 12:01:06 UTC
210,25362,-0.249006353287065,220,EURO,2025-05-26 12:01:06 UTC
211,21995,-0.252916460061888,159,PGA,2025-05-26 12:01:06 UTC
212,17032,-0.258983826881649,134,PGA,2025-05-26 12:01:06 UTC
213,19960,-0.259260920664388,71,PGA,2025-05-26 12:01:06 UTC
214,22087,-0.265149749992234,247,PGA,2025-05-26 12:01:06 UTC
215,25475,-0.268168729239727,224,KFT,2025-05-26 12:01:06 UTC
216,27780,-0.280687630685796,275,PGA,2025-05-26 12:01:06 UTC
217,14775,-0.290158004048988,292,EURO,2025-05-26 12:01:06 UTC
218,25002,-0.293240281719021,261,PGA,2025-05-26 12:01:06 UTC
219,19844,-0.294029826789645,228,ASA,2025-05-26 12:01:06 UTC
220,17357,-0.306371175607732,176,EURO,2025-05-26 12:01:06 UTC
221,10943,-0.309470544473137,212,PGA,2025-05-26 12:01:06 UTC
222,17381,-0.310826653683662,214,PGA,2025-05-26 12:01:06 UTC
223,18761,-0.312209823216765,349,PGA,2025-05-26 12:01:06 UTC
224,15326,-0.314071658589128,222,EURO,2025-05-26 12:01:06 UTC
225,32055,-0.316734048783839,138,KFT,2025-05-26 12:01:06 UTC
226,16602,-0.323457104363625,501,LIV,2025-05-26 12:01:06 UTC
227,29827,-0.333858124878181,501,AM,2025-05-26 12:01:06 UTC
228,16395,-0.338597588607154,185,PGA,2025-05-26 12:01:06 UTC
229,20522,-0.340405870060395,167,EURO,2025-05-26 12:01:06 UTC
230,30445,-0.346852217157472,213,EURO,2025-05-26 12:01:06 UTC
231,22050,-0.348318251130274,207,KFT,2025-05-26 12:01:06 UTC
232,7033,-0.348800630931392,432,EURO,2025-05-26 12:01:06 UTC
233,18517,-0.351989897378099,164,EURO,2025-05-26 12:01:06 UTC
234,14904,-0.35560074904734,290,JPN,2025-05-26 12:01:06 UTC
235,12988,-0.358164992819032,208,EURO,2025-05-26 12:01:06 UTC
236,24185,-0.365794887003293,152,EURO,2025-05-26 12:01:06 UTC
237,5665,-0.371131925557509,501,CHAMP,2025-05-26 12:01:06 UTC
238,30463,-0.375847450420125,358,LIV,2025-05-26 12:01:06 UTC
239,26190,-0.380389205037761,339,KFT,2025-05-26 12:01:06 UTC
240,9842,-0.38209658838716,285,EURO,2025-05-26 12:01:06 UTC
241,19865,-0.382290169214655,325,PGA,2025-05-26 12:01:06 UTC
242,19846,-0.385497479494688,298,KFT,2025-05-26 12:01:06 UTC
243,11019,-0.385549498246322,501,LIV,2025-05-26 12:01:06 UTC
244,7960,-0.386934713624083,194,PGA,2025-05-26 12:01:06 UTC
245,24956,-0.392905426144638,376,KFT,2025-05-26 12:01:06 UTC
246,31343,-0.394319105851155,501,AM,2025-05-26 12:01:06 UTC
247,22985,-0.398747331102496,274,KFT,2025-05-26 12:01:06 UTC
248,20085,-0.402096971304631,306,EURO,2025-05-26 12:01:06 UTC
249,30620,-0.402466595628575,255,KFT,2025-05-26 12:01:06 UTC
250,14975,-0.410448700849103,249,EURO,2025-05-26 12:01:06 UTC
251,18105,-0.414710077628768,90,EURO,2025-05-26 12:01:06 UTC
252,11117,-0.416657086712868,362,KFT,2025-05-26 12:01:06 UTC
